153;LEGO Bionicle;Sram_v112;8388608;LEGO Media;0;High Society;12507;121AB9C3;16C336FC;D6D508DE;;153;;0
154;Monsters, Inc.;None;4194304;THQ;1;Mode 7;2;327834C9;23E4E58F;EFC0C4BC;;154;;0
155;Doom;Eeprom_v120;8388608;Activision;16;Mode 7;2;58C641B3;173E1967;37179106;;155;;0
156;Dokodemo Taikyoku - Yakuman Advance;Sram_F_v102;8388608;Nintendo;7;NIL;256;C2424EDD;6E70D69B;9BBD2D3C;;156;;0
157;Tang Tang;Eeprom_v121;4194304;Take 2;0;Cezar;4323;8BFB4CFE;8CC9E424;2968FA46;;157;;0
158;Lucky Luke - Wanted!;None;4194304;Infogrames;0;Lightforce;4307;F12F29A9;B8E45F73;0F089D7F;;158;;0
159;Spyro - Season of Ice;Eeprom_v122;8388608;Vivendi;0;Eurasia;4291;AFD25827;9C797392;0D9DA3C5;;159;;0
160;Spyro - Season of Ice;Eeprom_v122;8388608;Vivendi;1;Lightforce;2;2F2389D2;1AE38B62;123436DF;;160;;0
161;Batman Vengeance;None;8388608;Ubi Soft;1;Venom;4099;9FA17935;9FF0DC2D;FC2FB5B9;;161;;0
162;Super Street Fighter II Turbo - Revival;Eeprom_v121;8388608;Capcom;0;High Society;2;461B4590;D243D51B;B7FBDEB8;;162;;0
163;Kao the Kangaroo;None;4194304;Titus;1;Paracox;4307;F6667B3E;E974ED36;7AA65816;;163;;0
164;WWF - Road to WrestleMania;None;4194304;THQ;16;Eurasia;2;8D3B116E;99C8F18E;889CE660;;164;;0
165;Megaman Battle Network;Sram_v112;8388608;Capcom;1;Venom;2;1D347971;137CB51E;B009D75E;;165;;0
166;Gadget Racers;Sram_v112;4194304;Conspiracy;1;Eurasia;2;95DD156A;E6A24FB6;21F56452;;166;;0
167;Gradius Advance;Eeprom_v122;4194304;Konami;0;Eurasia;2;3722BDFA;77D60E7D;220D4DF3;;167;;0
168;M&M's Blast!;Eeprom_v122;8388608;Majesco Sales;1;Lightforce;2;AD38C301;28BBBDCD;74EFCE9E;;168;;0
169;Wario Land 4;Sram_v112;8388608;Nintendo;16;Mode 7;2;D6141609;DF64D236;8E4E1067;;169;;0
170;Hikaru no Go;Sram_F_v102;8388608;Konami;7;Independent;256;5A6C7537;E9F6FC6E;390C6157;;170;;0
171;Golden Sun;Flash_v123;8388608;Nintendo;16;Mode 7;2;E1FB68E8;C758E6D4;24438512;;171;;0
172;Donald Duck Advance;None;8388608;Ubi Soft;0;Paracox;4291;4C086A5E;A9C49D3E;967EE84F;;172;;0
173;Harry Potter and the Sorcerer's Stone;Eeprom_v122;8388608;Electronic Arts;16;Lightforce;64219;F755065C;5E83C924;EAB9BD9A;;173;;0
174;Batman Vengeance;None;8388608;Ubi Soft;0;Rapid Fire;4307;783AC0C7;9FF0DC2D;B0F2ADA1;;174;;0
175;Jackie Chan Adventures - Legend of the Darkhand;Eeprom_v120;4194304;Activision;16;Mode 7;2;13247954;0F597A56;E2499EAD;;175;;0
176;Alienators - Evolution Continues;None;4194304;Activision;1;Mode 7;2;0D694CA4;A1339920;E6FA3EFD;;176;;0
177;SpongeBob SquarePants - SuperSponge;None;4194304;THQ;1;Eurasia;2;98AD67E6;A3FD6EE3;3C9DCC34;;177;;0
178;Jimmy Neutron - Boy Genius;None;4194304;THQ;1;Eurasia;2;D3EE0C51;0F8BD1EA;52924A55;;178;;0
179;Inspector Gadget - Advance Mission;None;4194304;LSP;0;Eurasia;4307;406AA0C6;CDBFEFCC;AB2D7CA0;;179;;0
180;Tweety and the Magic Gems;Sram_v112;4194304;Kemco;1;Independent;2;2DA5C91E;C8127A6D;C64650A2;;180;;0
181;Star Wars - Jedi Power Battles;None;8388608;THQ;1;Eurasia;2;3F19E156;1E9F6079;24C7760A;;181;;0
182;Midnight Club - Street Racing;None;4194304;Destination Software;1;Lightforce;2;911BE520;84992D68;C794DFE9;;182;;0
183;Mat Hoffman's Pro BMX;Eeprom_v122;4194304;Activision;1;Lightforce;2;A333FA51;7B81F5FC;AFC86730;;183;;0
184;Razor Freestyle Scooter;None;4194304;Crave Entertainment;1;Lightforce;2;FFE38431;3FA1CEB9;A1E1F783;;184;;0
185;Super Bust-A-Move;None;4194304;Ubi Soft;0;Eurasia;4291;6BFD2915;41C32132;237B8886;;185;;0
186;Dokapon;Sram_F_v102;8388608;Asmik;1;Menace;2;5617E407;A58D6E6E;0D601977;;186;;0
187;International Superstar Soccer;Eeprom_v120;8388608;Konami;0;Eurasia;2;9989CE55;029B83D5;A2A3DE99;;187;;0
188;Atlantis - The Lost Empire;None;4194304;THQ;0;Lightforce;4307;B3948DBC;B42518AB;3FDB8712;;188;;0
189;Yuujou no Victory Goal 4v4 Arashi - Get the Goal!!;Sram_F_v102;8388608;Konami;7;Quartex;256;CE987F90;AE72FB6A;764E1B03;;189;;0
190;Nancy Drew - Message in a Haunted Mansion;None;4194304;Dreamcatcher;1;Eurasia;2;7652CD25;09A02C21;382C3B62;;190;;0
191;Powerpuff Girls, The - Mojo Jojo A-Go-Go;Eeprom_v122;4194304;BAM!;1;Mode 7;4307;DFB57DCF;F1A08CC5;3BF4935E;;191;;0
192;Madden NFL 2002;Eeprom_v122;4194304;Electronic Arts;1;Lightforce;2;8E797ECD;1B42DCED;69AD7C36;;192;;0
193;Frogger's Adventures - Temple of the Frog;Eeprom_v121;4194304;Konami;16;Lightforce;4291;2EB9EEE6;087252EC;38D36074;;193;;0
194;No Rules - Get Phat;None;8388608;TDK;16;Lightforce;4307;966FA650;24EDF166;6B460E04;;194;;0
195;Adventure of Tokyo Disney Sea;Sram_v112;4194304;Konami;7;Eurasia;256;5781ACAF;B635D3CF;9F2DCF1A;;195;;0
196;David Beckham Soccer;Eeprom_v122;4194304;Denki;0;Venom;4291;E9A34F49;2564EEA2;38EC6C35;;196;;0
197;Tetris Worlds;None;4194304;THQ;0;Lightforce;83;AD97EB3F;D2F06409;5127A788;;197;;0
198;Rampage - Puzzle Attack;None;4194304;Midway;16;Mode 7;2;8ECA2B0F;F437C89C;AF38051A;;198;;0
199;Midway's Greatest Arcade Hits;None;4194304;Midway;16;Mode 7;2;C01C4D0A;CADEA65F;EECAA4E4;;199;;0
200;Jurassic Park III - Island Attack;Eeprom_v122;8388608;Konami;1;Mode 7;2;1E7048D2;7F98F0A9;4FCF5BE4;;200;;0
201;Super Dodge Ball Advance;Sram_v110;4194304;Ubi Soft;0;Cezar;2;4CA4F528;7D5719AF;42A195C8;;201;;0
202;LEGO Racers 2;Eeprom_v120;8388608;LEGO Media;1;Venom;3;E13B63AD;F99CB6B0;BD6D666D;;202;;0
203;ESPN Great Outdoor Games - Bass 2002;Sram_v112;8388608;Konami;1;Mode 7;2;DA9D815F;25EDCE3A;009916D0;;203;;0
